event_id,stage_id,team,final_record,advanced,went_3_0,went_0_3,source
blast_austin_major_2025_stage1,stage1,HEROIC,3-0,true,true,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,B8,3-0,true,true,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,OG,3-1,true,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,BetBoom,3-1,true,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,Nemiga,3-1,true,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,TYLOO,3-2,true,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,Lynn Vision,3-2,true,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,Legacy,3-2,true,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,Wildcard,2-3,false,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,NRG,2-3,false,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,FlyQuest,2-3,false,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,Chinggis Warriors,1-3,false,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,Imperial,1-3,false,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,Complexity,1-3,false,false,false,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,Fluxo,0-3,false,false,true,HLTV event 8436 / Liquipedia Stage 1 standings
blast_austin_major_2025_stage1,stage1,Metizport,0-3,false,false,true,HLTV event 8436 / Liquipedia Stage 1 standings
